Timestamp(ns),RTC,Pressure(mbar),Temperature(C)
1590301825599918000,ab,988.84,19.70
1590301826599876000,ab,988.84,19.70
1590301827599877000,ab,988.84,19.65
1590301828599875000,ab,988.84,19.70
1590301829606815000,ab,982.73,19.70
1590301830602909000,ab,988.84,19.65
1590301831599877000,ab,988.84,19.70
1590301832599876000,ab,994.94,19.70
1590301833599878000,ab,982.73,19.70
1590301834599914000,ab,982.73,19.65
1590301835599877000,ab,982.73,19.70
1590301836600819000,ab,982.73,19.70
1590301837599875000,ab,982.73,19.70
1590301838601531000,ab,988.84,19.70
1590301839599876000,ab,982.73,19.65
1590301840599923000,ab,988.84,19.70
1590301841599877000,ab,982.73,19.70
1590301842599896000,ab,994.94,19.75
1590301843599876000,ab,988.84,19.75
1590301844599888000,ab,988.84,19.70
1590301845602065000,ab,982.73,19.70
1590301846600665000,ab,988.84,19.70
1590301847600829000,ab,982.73,19.70
1590301848599879000,ab,988.84,19.75
1590301849599882000,ab,988.84,19.75
1590301850599899000,ab,988.84,19.75
1590301851599878000,ab,982.73,19.75
1590301852599878000,ab,988.84,19.70
1590301853599878000,ab,982.73,19.75
1590301854621523000,ab,994.94,19.70
1590301855599878000,ab,994.94,19.75
1590301856599881000,ab,982.73,19.75
1590301857600663000,ab,982.73,19.70
1590301858599900000,ab,994.94,19.75
1590301859599879000,ab,994.94,19.75
1590301860599881000,ab,994.94,19.75
1590301861602111000,ab,994.94,19.75
1590301862599874000,ab,988.84,19.75
1590301863606790000,ab,988.84,19.75
1590301864599877000,ab,988.84,19.75
1590301865599878000,ab,988.84,19.75
1590301866599876000,ab,994.94,19.75
1590301867599883000,ab,982.73,19.75
1590301868599889000,ab,988.84,19.75
1590301869599902000,ab,988.84,19.75
1590301870599883000,ab,988.84,19.75
1590301871599875000,ab,988.84,19.75
1590301872600119000,ab,988.84,19.75
1590301873599921000,ab,988.84,19.75
1590301874599877000,ab,982.73,19.80
1590301875599899000,ab,988.84,19.75
1590301876599880000,ab,982.73,19.80
1590301877599876000,ab,994.94,19.75
1590301878599876000,ab,988.84,19.75
1590301879599874000,ab,994.94,19.75
1590301880599881000,ab,994.94,19.75
1590301881600876000,ab,994.94,19.75
1590301882599903000,ab,988.84,19.80
1590301883599954000,ab,988.84,19.80
1590301884599875000,ab,988.84,19.80
1590301885599876000,ab,994.94,19.75
1590301886608422000,ab,982.73,19.80
1590301887599878000,ab,994.94,19.75
1590301888599878000,ab,982.73,19.80
1590301889599878000,ab,988.84,19.80
1590301890599923000,ab,982.73,19.80
1590301891603485000,ab,988.84,19.80
1590301892599876000,ab,988.84,19.80
1590301893599885000,ab,982.73,19.80
1590301894599923000,ab,982.73,19.80
1590301895600373000,ab,994.94,19.80
1590301896599876000,ab,1001.04,19.80
1590301897599877000,ab,982.73,19.75
1590301898601301000,ab,994.94,19.75
1590301899600672000,ab,994.94,19.80
1590301900599879000,ab,982.73,19.80
1590301901599906000,ab,988.84,19.80
1590301902599912000,ab,994.94,19.80
1590301903599877000,ab,988.84,19.80
1590301904599879000,ab,994.94,19.80
1590301905599879000,ab,988.84,19.80
1590301906599905000,ab,982.73,19.80
1590301907599878000,ab,994.94,19.85
1590301908599885000,ab,988.84,19.85
1590301909599905000,ab,988.84,19.80
1590301910611886000,ab,988.84,19.80
1590301911600426000,ab,988.84,19.80
1590301912599881000,ab,982.73,19.85
1590301913599885000,ab,1001.04,19.80
1590301914599875000,ab,982.73,19.85
1590301915599880000,ab,988.84,19.80
1590301916599877000,ab,988.84,19.80
1590301917599879000,ab,988.84,19.85
1590301918599886000,ab,988.84,19.85
1590301919599895000,ab,988.84,19.80
1590301920599877000,ab,988.84,19.80
1590301921599891000,ab,988.84,19.90
1590301922600855000,ab,994.94,19.85
1590301923599920000,ab,988.84,19.85
1590301924599878000,ab,988.84,19.85
1590301925599877000,ab,1001.04,19.85
